,track_id,track_title,cluster_id
0,2,Food,10
2,5,This World,9
3,10,Freeway,9
6,30,Too Happy,2
9,134,Street Music,9
16,141,Ohio,0
41,167,Track 12,6
55,182,Jules Lost His Jewels,0
56,183,For Kate I Wait,1
57,184,Helen,5
58,185,Want Me,13
64,193,Here With You,0
66,195,I Remember You,1
71,200,Baby Come Home,0
72,201,Big City,0
74,203,Song For R,0
75,204,My Dream,0
79,208,Safe Harbor,0
82,211,In America,0
92,248,Ghosts,1
95,251,Nobody Loves Me,0
97,253,New Life,9
128,315,Interference,15
130,317,Very Nice,1
134,321,Heart Attack,1
135,322,Shopping Bag,1
139,326,Burn,0
141,328,Central Park,1
143,331,Weatherman,4
147,335,Bored,1
148,336,Breeder,4
154,342,Crash,10
156,344,Denver,1
162,350,Gotta Go,1
163,351,Hippopotamus,4
169,357,Mr Mystery,9
170,358,My House,1
171,359,My Room,15
178,366,The Swamp,1
180,368,Vampires,0
222,430,1966,8
224,432,1984,7
225,433,1987,2
226,434,1988,7
227,435,1989,2
242,450,Excuses,14
251,465,Thinking Of You,5
255,469,Waverly,5
264,478,Recessional,9
274,489,Nevertheless,0
287,504,Cry,4
298,516,Kohoutek,15
302,522,End Over End,0
313,533,Mango Tree,10
314,534,I Can See You,4
319,539,Whoever You Are,5
325,545,Interpretations,6
331,554,Disturbed,11
332,555,Shaking,10
334,557,Waitin',9
335,558,Emotion,8
337,560,Serious,0
342,565,Sophia,0
343,566,Jasmine,15
345,568,Disconnect,9
349,572,Awaken,0
350,573,When My Ship Comes In,13
357,580,Premonition,14
365,590,Stuck,15
366,591,Without A Sound,15
367,592,Song X,15
370,602,Disappearing,11
386,618,Smoke,13
387,619,Pebble Beach,1
388,620,Arabesque,9
390,622,Paper Cup,9
395,627,Black Bird,1
396,628,Friday Night,1
398,630,The City,0
400,633,Indian Giver,1
403,637,The March,15
432,666,Heat,1
434,668,Dream,9
438,672,Rise,9
446,680,Sunshine,9
452,686,Murder,9
456,690,Cataclysm,9
458,692,Part 4,5
461,695,Elephants,10
465,699,Antarctica,2
467,701,Japan,2
468,702,Mexico,9
470,704,Mano De Dios,2
474,708,Desconocido,7
478,713,No Idea,14
482,717,Tyranny,1
485,720,Camera Shy,13
486,721,Evil Twin,5
501,739,Hurt,0
502,740,Life After Sundown,2
512,751,Love Love Love,10
513,752,The Chameleon,15
535,774,The Last Time,10
563,803,Thinking About You,7
579,825,Death March,5
582,828,Scrilla,1
584,830,Vietnam,0
587,833,From This Moment On,15
589,835,Ain't No Use,1
592,838,Wasteland,10
593,839,Just Like A Rose,9
594,840,Explosions,10
596,842,Baby,9
597,843,Today,9
617,866,Rain,8
627,877,As If,8
642,893,The Gathering,4
645,896,2012,5
651,902,Lethe,9
656,907,All I Have To Say,15
660,911,Come And See,0
661,912,Come On,0
663,914,Go Ahead,0
668,919,Here We Stand,9
669,920,Hey Hey Hey,0
674,925,I Wanna Be The One,1
683,934,More,2
687,938,On And On,8
688,939,Open Your Eyes,2
690,941,Ready Steady,2
692,943,Soda Pop,15
696,947,Sweet Taste,10
697,948,The Opposite,9
709,960,What Do You Think?,1
711,962,With Me,15
719,970,You Got It,1
720,971,You Got Me,10
748,1000,Bless You,5
760,1017,Inheritance,6
780,1037,Untitled,6
782,1039,13 Monsters,7
783,1040,Dracula Mountain,5
793,1050,Electric World,1
796,1058,Credo,0
806,1069,Un Lagrima en la Discoteca,7
821,1084,_,9
840,1105,Song 1,10
841,1106,Up With People,10
842,1107,Song 3,5
847,1116,Nautilus,0
849,1118,Black Hole,0
855,1124,Think of Me,14
860,1129,Oscillator,8
876,1149,Sea Monkeys,0
877,1150,Model Citizen,0
878,1151,Desperado,0
884,1157,Bombshell,0
886,1159,Lovesick,5
894,1167,Lazy Suicide,0
895,1168,Insomnia,5
898,1171,Black Market,0
899,1172,Too Late,5
904,1177,Queen Bee,13
906,1179,Shoes,0
914,1187,Black Pearls,0
917,1190,Up,10
919,1192,Disorder,10
943,1217,Track 2,2
948,1222,Track 3,5
951,1225,Starlight,4
953,1227,Track 5,6
955,1229,Track 6,0
957,1231,Lost,6
958,1232,Running,1
996,1271,Give Up,3
997,1272,No Chance,10
1003,1278,Downloading,13
1006,1281,Control,4
1008,1283,Ghost,0
1017,1292,Pirate Radio,13
1018,1293,Carpenter,4
1022,1297,White Walls,5
1066,1341,Evil,0
1073,1348,Untitled 2,0
1085,1362,30 Seconds,1
1086,1363,All Dressed Up,0
1087,1364,Time Has Come,5
1092,1369,Downtown,5
1093,1370,Roll Over,0
1094,1371,The Collector,9
1096,1373,Ballad,0
1098,1375,Open Wide,0
1100,1377,untitled,15
1103,1381,Dead Living,10
1104,1382,Lady Love,10
1106,1384,Drowsy Maggie,11
1113,1418,Caroline,0
1115,1420,Shades,0
1116,1421,The Wait,0
1137,1443,Time Fist,1
1146,1479,Little One,7
1147,1480,Power,10
1150,1483,Center,0
1151,1484,Feeder,8
1154,1487,Escape,9
1155,1488,Transit,9
1176,1510,Zombie,7
1184,1518,I Don't Care,0
1185,1519,Watch Out,0
1186,1520,Sold,0
1188,1522,Getting Older,1
1189,1523,Michael,5
1194,1528,Driving,10
1200,1534,Retirement Song,14
1208,1542,Sister Silver,2
1209,1543,Taste The Candy,9
1213,1547,The Double,0
1221,1555,Soaked,4
1228,1562,Garden,1
1235,1569,Dialogue,3
1254,1589,Track 14,0
1258,1593,Cold,10
1261,1596,Figure It Out,9
1270,1605,Five Years,5
1279,1614,Sun Up,10
1281,1616,Emergency Room,0
1305,1640,Mother,10
1308,1643,Casablanca,2
1309,1644,Outskirts,14
1320,1663,So High,0
1358,1701,Clouds,1
1361,1704,Morning Song,0
1362,1705,Underscore,4
1385,1730,Beast,0
1389,1734,Spirals,3
1392,1737,13,14
1397,1742,Laid Back,0
1399,1744,Evolution,9
1404,1749,The Barn,4
1423,1780,Another Planet,10
1439,1796,Cemetery,7
1442,1799,Beach Ball,8
1449,1806,The Secret,0
1462,1819,Lamb,2
1465,1822,Beach Baby,5
1466,1823,Mr. Man,2
1486,1860,Between,10
1487,1861,Babies,9
1499,1874,Understand,8
1502,1877,Cognitive Dissonance,3
1507,1882,Don't Blame Me,5
1508,1883,I Do What I Do,5
1509,1884,I Found Love,0
1512,1887,Wandering,0
1515,1890,Quadrospazzed,0
1518,1893,Memories,1
1524,1900,Sterling,13
1534,1916,Fall Away,0
1538,1920,Roll On,0
1564,1946,Shamanix,9
1581,1963,Voodoo,9
1584,1966,You're My Thrill,9
1594,1976,3,4
1595,1977,8,1
1606,1988,Miami,10
1610,1992,Mobile,1
1612,1994,Baltimore,2
1628,2010,Green Eyes,9
1637,2021,04,10
1650,2081,Black And White,2
1658,2102,Untitled 3,0
1659,2103,Untitled 4,10
1660,2104,Untitled 5,1
