,track_id,track_title,cluster_id
0,2,Food,0
2,5,This World,4
3,10,Freeway,4
6,30,Too Happy,3
9,134,Street Music,4
16,141,Ohio,7
41,167,Track 12,7
55,182,Jules Lost His Jewels,7
56,183,For Kate I Wait,7
57,184,Helen,4
58,185,Want Me,6
64,193,Here With You,1
66,195,I Remember You,5
71,200,Baby Come Home,7
72,201,Big City,7
74,203,Song For R,7
75,204,My Dream,1
79,208,Safe Harbor,7
82,211,In America,7
92,248,Ghosts,5
95,251,Nobody Loves Me,7
97,253,New Life,1
128,315,Interference,1
130,317,Very Nice,7
134,321,Heart Attack,7
135,322,Shopping Bag,5
139,326,Burn,7
141,328,Central Park,7
143,331,Weatherman,5
147,335,Bored,7
148,336,Breeder,5
154,342,Crash,4
156,344,Denver,7
162,350,Gotta Go,5
163,351,Hippopotamus,5
169,357,Mr Mystery,4
170,358,My House,7
171,359,My Room,1
178,366,The Swamp,1
180,368,Vampires,4
222,430,1966,3
224,432,1984,0
225,433,1987,3
226,434,1988,0
227,435,1989,3
242,450,Excuses,3
251,465,Thinking Of You,4
255,469,Waverly,4
264,478,Recessional,4
274,489,Nevertheless,4
287,504,Cry,5
298,516,Kohoutek,1
302,522,End Over End,4
313,533,Mango Tree,0
314,534,I Can See You,5
319,539,Whoever You Are,0
325,545,Interpretations,4
331,554,Disturbed,5
332,555,Shaking,0
334,557,Waitin',4
335,558,Emotion,3
337,560,Serious,4
342,565,Sophia,7
343,566,Jasmine,1
345,568,Disconnect,4
349,572,Awaken,1
350,573,When My Ship Comes In,6
357,580,Premonition,3
365,590,Stuck,1
366,591,Without A Sound,1
367,592,Song X,1
370,602,Disappearing,5
386,618,Smoke,6
387,619,Pebble Beach,7
388,620,Arabesque,0
390,622,Paper Cup,4
395,627,Black Bird,7
396,628,Friday Night,7
398,630,The City,7
400,633,Indian Giver,7
403,637,The March,1
432,666,Heat,7
434,668,Dream,4
438,672,Rise,4
446,680,Sunshine,4
452,686,Murder,4
456,690,Cataclysm,4
458,692,Part 4,4
461,695,Elephants,0
465,699,Antarctica,3
467,701,Japan,3
468,702,Mexico,4
470,704,Mano De Dios,3
474,708,Desconocido,0
478,713,No Idea,0
482,717,Tyranny,5
485,720,Camera Shy,6
486,721,Evil Twin,4
501,739,Hurt,4
502,740,Life After Sundown,3
512,751,Love Love Love,0
513,752,The Chameleon,1
535,774,The Last Time,0
563,803,Thinking About You,6
579,825,Death March,4
582,828,Scrilla,7
584,830,Vietnam,7
587,833,From This Moment On,1
589,835,Ain't No Use,7
592,838,Wasteland,4
593,839,Just Like A Rose,4
594,840,Explosions,0
596,842,Baby,4
597,843,Today,4
617,866,Rain,3
627,877,As If,3
